Bundesland,date,dritte_alle
Nordrhein-Westfalen,2021-09-18,1772
Hessen,2021-09-18,769
Rheinland-Pfalz,2021-09-18,326
Baden-Württemberg,2021-09-18,2146
Bayern,2021-09-18,940
Saarland,2021-09-18,36
Berlin,2021-09-18,708
Brandenburg,2021-09-18,36
Sachsen,2021-09-18,169
Sachsen-Anhalt,2021-09-18,73
Thüringen,2021-09-18,122
Schleswig-Holstein,2021-09-19,619
Hamburg,2021-09-19,12
Niedersachsen,2021-09-19,43
Bremen,2021-09-19,110
Nordrhein-Westfalen,2021-09-19,1033
Hessen,2021-09-19,525
Rheinland-Pfalz,2021-09-19,58
Baden-Württemberg,2021-09-19,1569
Bayern,2021-09-19,415
Berlin,2021-09-19,454
Brandenburg,2021-09-19,3
Mecklenburg-Vorpommern,2021-09-19,22
Sachsen,2021-09-19,113
Sachsen-Anhalt,2021-09-19,3
Thüringen,2021-09-19,524
Schleswig-Holstein,2021-09-20,1089
Hamburg,2021-09-20,206
Niedersachsen,2021-09-20,832
Bremen,2021-09-20,462
Nordrhein-Westfalen,2021-09-20,4528
Hessen,2021-09-20,2962
Rheinland-Pfalz,2021-09-20,1985
Baden-Württemberg,2021-09-20,4431
Bayern,2021-09-20,2847
Saarland,2021-09-20,229
Berlin,2021-09-20,2877
Brandenburg,2021-09-20,284
Mecklenburg-Vorpommern,2021-09-20,708
Sachsen,2021-09-20,511
Sachsen-Anhalt,2021-09-20,799
Thüringen,2021-09-20,329
NA,2021-09-20,2
Schleswig-Holstein,2021-09-21,1986
Hamburg,2021-09-21,384
Niedersachsen,2021-09-21,2510
Bremen,2021-09-21,546
Nordrhein-Westfalen,2021-09-21,9486
Hessen,2021-09-21,4021
Rheinland-Pfalz,2021-09-21,3075
Baden-Württemberg,2021-09-21,6300
Bayern,2021-09-21,5555
Saarland,2021-09-21,446
Berlin,2021-09-21,3730
Brandenburg,2021-09-21,725
Mecklenburg-Vorpommern,2021-09-21,989
Sachsen,2021-09-21,940
Sachsen-Anhalt,2021-09-21,1102
Thüringen,2021-09-21,663
Schleswig-Holstein,2021-09-22,3894
Hamburg,2021-09-22,1037
Niedersachsen,2021-09-22,2879
Bremen,2021-09-22,474
Nordrhein-Westfalen,2021-09-22,12371
Hessen,2021-09-22,5039
Rheinland-Pfalz,2021-09-22,3658
Baden-Württemberg,2021-09-22,8069
Bayern,2021-09-22,5624
Saarland,2021-09-22,510
Berlin,2021-09-22,3943
