"Kennziffer";"Raumeinheit";"Aggregat";"Einwohner 65 Jahre und älter";"Einwohnerdichte";"Frauenanteil";"Ausländeranteil";"Anteil Schutzsuchender an Bevölkerung";"Haushalte mit niedrigem Einkommen";"Stimmenanteile AfD";"Wahlbeteiligung"
3459;"Osnabrück";"Landkreis";20,4;168;50,3;7,7;1,3;27,4;7;76,5
3460;"Vechta";"Landkreis";15,9;173;49,4;11,7;2,6;25,8;7;75,8
3461;"Wesermarsch";"Landkreis";23,2;108;49,9;7,5;1,7;32,6;8,3;71,9
3462;"Wittmund";"Landkreis";24,2;86;50,8;4,3;1,5;35,2;8,6;72,4
4011;"Bremen, Stadt";"krsfr. Stadt";21;1741;50,6;17,5;3,7;38,2;9,5;71,5
4012;"Bremerhaven, Stadt";"krsfr. Stadt";21,8;1207;50,3;16,9;4;40,2;12,5;63,1
5111;"Düsseldorf, Stadt";"krsfr. Stadt";19,4;2839;51,7;19,7;3,1;29,7;7,9;76
5112;"Duisburg, Stadt";"krsfr. Stadt";20,4;2140;50,6;20,2;2,8;39,1;13,3;67,5
5113;"Essen, Stadt";"krsfr. Stadt";21,5;2774;51,5;15,3;3,9;35,4;11,4;73,3
5114;"Krefeld, Stadt";"krsfr. Stadt";22;1645;51,3;15,5;2,5;34,3;8,3;70,9
5116;"Mönchengladbach, Stadt";"krsfr. Stadt";20,7;1538;50,8;15,3;2,9;35,8;9,5;68,7
5117;"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";23,7;1876;51,8;15,1;3,5;28,6;10,6;76,9
5119;"Oberhausen, Stadt";"krsfr. Stadt";21,7;2743;50,9;14,6;2,8;34,9;13,1;71,3
5120;"Remscheid, Stadt";"krsfr. Stadt";22,3;1484;50,7;17,5;2,3;28,3;10,6;71,2
5122;"Solingen, Stadt";"krsfr. Stadt";21,4;1774;51,4;16,2;2;30,8;9,7;72,1
5124;"Wuppertal, Stadt";"krsfr. Stadt";20,9;2100;51,1;18,8;3,9;35,6;10,8;72,5
5154;"Kleve";"Landkreis";20,3;252;50,2;14,4;1,6;26,3;6,9;74,2
5158;"Mettmann";"Landkreis";23,8;1192;51,7;11,9;1,8;22,2;9,5;77
5162;"Rhein-Kreis Neuss";"Landkreis";21,8;780;51,4;11,4;1,9;21,8;8,6;76,6
5166;"Viersen";"Landkreis";21,8;530;51,1;9,7;1,6;26,1;7,5;75,6
5170;"Wesel";"Landkreis";22,9;442;51,2;9;2;28,6;9,6;76,4
5314;"Bonn, Stadt";"krsfr. Stadt";18;2307;52,2;16,2;2,9;34,4;7,3;78,7
5315;"Köln, Stadt";"krsfr. Stadt";17,4;2668;51,2;19,2;3;35,2;7,2;75,4
5316;"Leverkusen, Stadt";"krsfr. Stadt";21,7;2074;51,3;15,4;2,5;31,1;10,3;74,4
